               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056059,            0.028475,           0.0064819,             0.90733,             0.92684,             0.94951,             0.53042,             0.03343,             0.02104,           0.0014541,            0.070018,           0.0033313,           0.0033313
                   1,            0.041642,             0.02154,           0.0015828,             0.93986,             0.94137,             0.97343,             0.59224,            0.029358,             0.01923,           0.0012694,            0.039688,           0.0063348,           0.0063348
                   2,            0.037616,            0.020111,           0.0012565,             0.95043,             0.96634,             0.97822,             0.61383,            0.027729,            0.018774,          0.00092542,           0.0090282,           0.0090082,           0.0090082
                   3,            0.033647,            0.019522,          0.00095665,             0.96312,             0.96709,             0.98183,             0.63769,            0.025929,            0.018783,          0.00066538,            0.008515,            0.008515,            0.008515
                   4,            0.030576,            0.018978,          0.00071206,             0.96017,             0.97979,             0.98139,             0.66361,            0.023997,            0.018012,          0.00041147,            0.008515,            0.008515,            0.008515
                   5,             0.02851,             0.01819,          0.00055028,             0.96247,             0.98033,             0.98541,              0.6766,            0.023361,            0.017336,          0.00031066,             0.00802,             0.00802,             0.00802
                   6,            0.027202,            0.017784,          0.00044541,             0.97537,             0.97926,             0.98829,             0.69128,            0.022797,            0.017068,          0.00027758,            0.007525,            0.007525,            0.007525
                   7,            0.026218,            0.017209,          0.00035913,             0.96494,             0.98665,             0.98614,             0.70084,            0.021956,            0.016725,          0.00024234,             0.00703,             0.00703,             0.00703
                   8,            0.025536,            0.017202,          0.00032658,             0.97878,             0.98411,             0.99099,             0.70824,            0.021619,            0.016357,          0.00019188,            0.006535,            0.006535,            0.006535
                   9,            0.024732,            0.016629,          0.00028734,             0.97438,             0.98638,             0.98969,              0.7164,            0.021042,            0.016248,          0.00019669,             0.00604,             0.00604,             0.00604
                  10,            0.024165,            0.016324,          0.00026103,              0.9768,             0.98609,             0.99163,              0.7243,            0.020562,            0.015826,           0.0001541,            0.005545,            0.005545,            0.005545
                  11,            0.023615,             0.01593,          0.00022473,             0.98101,             0.98745,             0.99185,             0.73225,            0.020249,            0.015967,          0.00013322,             0.00505,             0.00505,             0.00505
                  12,            0.023189,            0.015851,          0.00019751,             0.98303,             0.98614,             0.99249,              0.7435,            0.019469,            0.015498,            0.000123,            0.004555,            0.004555,            0.004555
                  13,            0.022596,            0.015587,           0.0001956,             0.98083,             0.98874,             0.99236,             0.74909,            0.019248,            0.015406,          0.00010736,             0.00406,             0.00406,             0.00406
                  14,            0.022287,             0.01553,          0.00020003,             0.98473,             0.98949,             0.99324,             0.75796,             0.01881,            0.015283,          8.3037e-05,            0.003565,            0.003565,            0.003565
                  15,            0.021927,            0.015338,          0.00016443,             0.98708,             0.99017,             0.99357,              0.7634,            0.018479,            0.015033,          7.0608e-05,             0.00307,             0.00307,             0.00307
                  16,            0.021555,            0.015031,          0.00016035,             0.98489,             0.98972,             0.99326,             0.76853,            0.018313,            0.014497,          0.00010911,            0.002575,            0.002575,            0.002575
                  17,             0.02093,            0.014652,          0.00013527,             0.98616,             0.98804,             0.99352,             0.77543,            0.017729,            0.014628,          5.3545e-05,             0.00208,             0.00208,             0.00208
                  18,            0.020901,            0.014795,          0.00013113,             0.98875,             0.99081,             0.99382,             0.78088,            0.017421,            0.014235,          4.3721e-05,            0.001585,            0.001585,            0.001585
                  19,              0.0206,            0.014341,           0.0001188,             0.98853,              0.9931,             0.99386,             0.78954,            0.017113,            0.014238,          3.9849e-05,             0.00109,             0.00109,             0.00109
