               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05941,            0.032185,           0.0057165,             0.70406,             0.64852,             0.68195,             0.31573,            0.029342,             0.02816,           0.0015066,            0.070011,           0.0033321,           0.0033321
                   1,            0.046416,            0.025564,           0.0015656,             0.85587,              0.7525,             0.80927,             0.43352,            0.026519,             0.02544,          0.00095242,            0.039681,           0.0063355,           0.0063355
                   2,            0.042417,            0.023951,           0.0012193,             0.89307,             0.77465,             0.82946,             0.46483,            0.024431,            0.024359,           0.0007869,           0.0090211,           0.0090089,           0.0090089
                   3,            0.037876,            0.023017,          0.00091841,             0.91668,             0.80073,             0.84959,             0.49642,            0.021871,            0.023237,          0.00054737,            0.008515,            0.008515,            0.008515
                   4,              0.0345,            0.022136,          0.00070566,             0.92435,             0.81347,             0.86596,             0.51892,            0.021186,            0.022562,          0.00043736,            0.008515,            0.008515,            0.008515
                   5,            0.032287,            0.021277,          0.00056351,             0.93108,             0.81067,             0.86425,             0.53325,            0.020137,            0.021984,          0.00035898,             0.00802,             0.00802,             0.00802
                   6,            0.030575,            0.020522,          0.00048571,             0.93245,             0.81239,             0.87406,             0.54284,            0.019655,            0.021425,          0.00028346,            0.007525,            0.007525,            0.007525
                   7,             0.02959,            0.020168,          0.00041775,             0.93564,             0.83199,             0.88294,             0.56081,            0.018828,            0.020754,          0.00026326,             0.00703,             0.00703,             0.00703
                   8,            0.028387,             0.01954,          0.00038375,             0.92211,             0.83748,             0.88723,             0.57649,            0.018133,            0.020244,          0.00022546,            0.006535,            0.006535,            0.006535
                   9,            0.027847,            0.019373,          0.00034425,             0.93596,             0.83775,             0.89061,             0.58413,            0.017785,            0.019677,          0.00022123,             0.00604,             0.00604,             0.00604
                  10,            0.026893,            0.018707,          0.00031323,             0.93036,             0.84954,             0.89578,             0.59552,            0.017296,            0.019149,          0.00020117,            0.005545,            0.005545,            0.005545
                  11,            0.026271,            0.018556,          0.00029666,             0.93022,             0.84257,             0.89506,             0.60828,            0.016841,            0.018751,            0.000191,             0.00505,             0.00505,             0.00505
                  12,            0.025691,            0.018075,          0.00026223,             0.92083,              0.8509,             0.89821,             0.61623,             0.01661,            0.018301,          0.00016633,            0.004555,            0.004555,            0.004555
                  13,            0.025003,            0.017842,          0.00025084,             0.93532,             0.83733,             0.89825,             0.62263,            0.016217,            0.017737,          0.00014448,             0.00406,             0.00406,             0.00406
                  14,            0.024364,            0.017246,          0.00023225,             0.93001,             0.85078,             0.90073,             0.63264,            0.015813,            0.017346,          0.00012473,            0.003565,            0.003565,            0.003565
                  15,            0.023889,            0.016988,          0.00021507,             0.93075,             0.83714,             0.90082,             0.63548,            0.015514,             0.01692,          0.00012833,             0.00307,             0.00307,             0.00307
                  16,            0.023281,             0.01661,            0.000198,             0.93078,             0.85051,             0.90554,             0.64908,            0.015104,            0.016444,          0.00010552,            0.002575,            0.002575,            0.002575
                  17,            0.022887,            0.016328,          0.00018842,             0.93188,             0.84841,             0.90204,             0.65352,             0.01482,            0.016153,          9.3609e-05,             0.00208,             0.00208,             0.00208
                  18,            0.022546,            0.016064,           0.0001795,             0.93582,             0.84871,             0.90511,             0.65904,            0.014633,            0.015911,          8.5009e-05,            0.001585,            0.001585,            0.001585
                  19,            0.021919,            0.015625,          0.00016839,             0.91767,             0.86393,             0.90727,             0.66585,            0.014437,            0.015584,          7.8487e-05,             0.00109,             0.00109,             0.00109
